,0,1,2,3
397,13:53:08,10.2,9.9,113.6
111,13:48:19,7.3,10.8,112.1
112,13:48:20,7.3,11,164.7
113,13:48:21,7.3,11,159.4
114,13:48:22,7.7,11,186
115,13:48:23,7.2,11,186.1
116,13:48:24,7.3,11,186.3
117,13:48:25,7.6,11,186.4
118,13:48:26,7.3,11,186.4
119,13:48:27,7.4,11,186.4
120,13:48:28,7.6,11,186.4
121,13:48:29,7.2,11,186.7
122,13:48:30,7.4,11,186.9
123,13:48:31,7.3,11,187.3
124,13:48:32,7.3,11,187.5
125,13:48:33,7.7,11,187.5
126,13:48:34,7.4,11,187.6
127,13:48:35,7.3,11,187.6
128,13:48:36,7.3,11,187.7
129,13:48:37,7.5,11,187.7
130,13:48:38,7.3,11,187.8
131,13:48:39,7.2,11,187.9
132,13:48:40,7.3,11,188
133,13:48:41,7.5,11,188
134,13:48:42,7.3,11,188.1
135,13:48:43,7.3,11,188.3
136,13:48:44,7.3,11,188.3
137,13:48:45,7.3,11,188.2
138,13:48:46,7.3,11,188.2
139,13:48:47,7.2,11,188.2
283,13:51:13,14.4,11.1,220.6
1320,14:08:33,17,11.1,120
714,13:58:26,13.2,11.2,113.5
184,13:49:34,10.9,11.6,134.4
254,13:50:44,14.3,12.8,114.3
564,13:55:55,28.8,13.1,267.5
1427,14:10:21,19.2,13.3,120.4
151,13:48:59,9,13.4,113.5
152,13:49:00,9,13.4,190.3
153,13:49:01,9,13.4,190.4
154,13:49:02,9,13.4,190.7
155,13:49:03,9,13.4,191
156,13:49:04,9,13.4,190.7
157,13:49:05,9,13.4,191
158,13:49:06,9,13.4,191.3
159,13:49:07,9.4,13.4,191.6
160,13:49:08,9,13.4,192
161,13:49:09,9.1,13.4,192.5
162,13:49:10,9.1,13.4,193
163,13:49:11,9,13.4,193.3
164,13:49:12,9,13.4,193.6
165,13:49:13,9,13.4,193.8
166,13:49:14,9,13.4,194
167,13:49:15,9,13.4,194.4
168,13:49:16,9.1,13.4,194.5
169,13:49:17,9,13.4,194.7
170,13:49:18,9,13.4,195
171,13:49:19,13.9,13.4,195.3
172,13:49:20,9,13.4,195.3
173,13:49:21,9.2,13.4,204.5
174,13:49:22,9.1,13.4,196.4
175,13:49:23,9,13.4,196.5
176,13:49:24,9.4,13.4,196.4
177,13:49:26,9,13.4,196.5
604,13:56:35,15.2,13.7,118.5
326,13:51:57,14.4,13.9,147.2
1064,14:04:17,20.1,14.1,119.1
219,13:50:09,12.6,14.5,141.5
1480,14:11:53,23.9,15.1,138.4
569,13:56:00,20.5,15.2,110.6
1316,14:08:29,62.3,15.2,373.9
290,13:51:20,16.1,15.7,114.3
922,14:01:54,21.6,15.7,116.6
1392,14:09:46,27.4,15.7,115.9
185,13:49:35,10.8,15.8,156.1
186,13:49:36,10.9,15.8,184.4
187,13:49:37,11.1,15.8,202
188,13:49:38,10.8,15.8,201.7
189,13:49:39,10.9,15.8,201.3
190,13:49:40,10.9,15.8,201.5
191,13:49:41,10.8,15.8,201.4
192,13:49:42,10.8,15.8,201.2
193,13:49:43,10.8,15.8,201.1
194,13:49:44,10.8,15.8,201.2
195,13:49:45,10.9,15.8,201.2
196,13:49:46,10.9,15.8,201.3
197,13:49:47,10.8,15.8,201.6
198,13:49:48,11.1,15.8,201.9
199,13:49:49,10.8,15.8,202.3
200,13:49:50,10.8,15.8,202.7
201,13:49:51,10.9,15.8,202.8
202,13:49:52,10.8,15.8,203.1
203,13:49:53,10.8,15.8,203.4
204,13:49:54,10.8,15.8,203.5
205,13:49:55,10.8,15.8,203.8
206,13:49:56,10.8,15.8,203.8
207,13:49:57,10.8,15.8,204
208,13:49:58,10.8,15.8,204.1
209,13:49:59,10.8,15.8,204.1
